縣市,姓名,政黨,選舉年度,相關經歷,詳細資訊網址
金門縣,陳滄江,民主進步黨,2009,金門縣體操運動委員會主任委員。,https://councils.g0v.tw/councilors/info/a07eac483f81450480ef7b92430c0681/2009/
金門縣,陳滄江,民主進步黨,2014,金門縣體操運動委員會主任委員,https://councils.g0v.tw/councilors/info/a07eac483f81450480ef7b92430c0681/2014/
金門縣,許玉昭,中國國民黨,2014,金門縣漆彈運動委員會主任委員,https://councils.g0v.tw/councilors/info/e9b53e9f81254e469806f2780c4f4f1f/2014/
金門縣,許玉昭,中國國民黨,2009,金門縣漆彈運動委員會主任委員,https://councils.g0v.tw/councilors/info/e9b53e9f81254e469806f2780c4f4f1f/2009/
金門縣,蔡春生,中國國民黨,2014,金門縣籃球協會理事長|金酒籃球隊領隊,https://councils.g0v.tw/councilors/info/d6700a79e82145cc83839d267615159b/2014/
澎湖縣,成萬貫,無黨團結聯盟,2014,湖西鄉體育會理事長,https://councils.g0v.tw/councilors/info/68591a4d458b45568449e15ac1aae26a/2014/
宜蘭縣,林岳賢,中國國民黨,2014,3.宜蘭縣籃球委員會主委。,https://councils.g0v.tw/councilors/info/2951ccf28a7a4c469f9e0aa32c175aff/2014/
宜蘭縣,江碧華,中國國民黨,2009,六、宜縣體育會羽球委員會主任委員。,https://councils.g0v.tw/councilors/info/3e0e14cb0a0142ba87a5692735381e0f/2009/
宜蘭縣,江碧華,中國國民黨,2009,六、宜縣體育會羽球委員會主任委員。,https://councils.g0v.tw/councilors/info/3e0e14cb0a0142ba87a5692735381e0f/2009/
宜蘭縣,江碧華,無黨籍,2014,6.宜蘭縣羽球委員會主委。,https://councils.g0v.tw/councilors/info/3e0e14cb0a0142ba87a5692735381e0f/2014/
新北市,石益,,1953,體育會高齡會主委,https://councils.g0v.tw/councilors/info/50f68a40bb60409d85b4699179d1fade/1953/
新北市,石益,,1955,體育會高齡會主委,https://councils.g0v.tw/councilors/info/50f68a40bb60409d85b4699179d1fade/1955/
臺北市,林定勇,親民黨,2002,"立法委員林郁方國會辦公室中山、大同區主任、下奎府文史研究室執行長、寧夏夜市自治會秘書、臺北市中山區體育會顧問、成淵中學百年校慶籌備委員、 中華民國文化關懷協會後補理事、臺北市立建國中學校友會理事、臺北市林氏宗親會顧問、福建安溪同鄉會顧問、臺北市體育會顧問。２０００年臺北年貨大街寧夏商圈活動總監。",https://councils.g0v.tw/councilors/info/d7e3b3b3bae34a8ba658f368123acaaa/2002/
新北市,鄭登文,,1982,臺北縣橄欖球會委員、主委、常委及理事|棒球委員會委員、主委、常委及理事|中華民國棒球協會委員、主委、常委及理事,https://councils.g0v.tw/councilors/info/5137d739b69a463ca1933eefc3854e1f/1982/
桃園縣,許森能,,2009,龜山鄉體育會自行車委員會主任委員,https://councils.g0v.tw/councilors/info/f751ba0862c5406f87c9a715b6be3388/2009/
