縣市,姓名,政黨,選舉年度,相關經歷,詳細資訊網址
連江縣,林貽祥,中國國民黨,2014,"2. 連江縣後備軍人輔導中心主任",https://councils.g0v.tw/councilors/info/6f6e01b0ad224dccaf79bdf58fd191ae/2014/
連江縣,林貽祥,中國國民黨,2014,"2. 連江縣後備軍人輔導中心主任",https://councils.g0v.tw/councilors/info/6f6e01b0ad224dccaf79bdf58fd191ae/2014/
澎湖縣,魏長源,無黨籍,2014,澎湖縣團管部白沙鄉後備軍人輔導中心主任,https://councils.g0v.tw/councilors/info/aa8e87f1d4174e9eb5578df7cb853603/2014/
澎湖縣,魏長源,無黨籍,2014,澎湖縣團管部白沙鄉後備軍人輔導中心主任,https://councils.g0v.tw/councilors/info/aa8e87f1d4174e9eb5578df7cb853603/2014/
宜蘭縣,林志鴻,民主進步黨,2014,8.宜蘭縣後備憲兵荷松協會忠貞589T。,https://councils.g0v.tw/councilors/info/4bf48ff4bd74406aaf3363f5b964e62d/2014/
宜蘭縣,林岳賢,中國國民黨,2009,宜蘭市後備軍人輔導組長。,https://councils.g0v.tw/councilors/info/2951ccf28a7a4c469f9e0aa32c175aff/2009/
宜蘭縣,林岳賢,中國國民黨,2014,4.宜蘭市後備軍人輔導中心組長。,https://councils.g0v.tw/councilors/info/2951ccf28a7a4c469f9e0aa32c175aff/2014/
宜蘭縣,林岳賢,中國國民黨,2009,宜蘭市後備軍人輔導組長。,https://councils.g0v.tw/councilors/info/2951ccf28a7a4c469f9e0aa32c175aff/2009/
宜蘭縣,林岳賢,中國國民黨,2014,4.宜蘭市後備軍人輔導中心組長。,https://councils.g0v.tw/councilors/info/2951ccf28a7a4c469f9e0aa32c175aff/2014/
新北市,李國書,,2006,後備輔導中心主任,https://councils.g0v.tw/councilors/info/203f2ba2550f43f69f1261c6dc3f8537/2006/
宜蘭縣,蔡文益,中國國民黨,2014,7.頭城後備軍人輔導中心組長。,https://councils.g0v.tw/councilors/info/e5b40d8f2800406eac88ca4919e8f24d/2014/
宜蘭縣,蔡文益,中國國民黨,2014,7.頭城後備軍人輔導中心組長。,https://councils.g0v.tw/councilors/info/e5b40d8f2800406eac88ca4919e8f24d/2014/
宜蘭縣,蔡文益,中國國民黨,2009,5.頭城後備輔導中心組長。,https://councils.g0v.tw/councilors/info/e5b40d8f2800406eac88ca4919e8f24d/2009/
桃園縣,李訓求,,2009,桃園縣退伍軍人協會理事|蘆竹鄉退伍軍人協會副會長,https://councils.g0v.tw/councilors/info/efc984a471434c2d80614bf116e74bdf/2009/
桃園縣,李訓求,,2009,桃園縣退伍軍人協會理事|蘆竹鄉退伍軍人協會副會長,https://councils.g0v.tw/councilors/info/efc984a471434c2d80614bf116e74bdf/2009/
桃園縣,沐平波,,2009,桃園縣中壢市退伍軍人協會顧問,https://councils.g0v.tw/councilors/info/e1d515765efe45e8acd7fa7595770e15/2009/
桃園縣,沐平波,,2009,桃園縣中壢市退伍軍人協會顧問,https://councils.g0v.tw/councilors/info/e1d515765efe45e8acd7fa7595770e15/2009/
新北市,朱子孟,,1998,樹林後備軍人輔導中心主任,https://councils.g0v.tw/councilors/info/72c1f98e4c1d4cdbb6d8bb7932609e40/1998/
新北市,朱子孟,,2002,樹林後備軍人輔導中心主任,https://councils.g0v.tw/councilors/info/72c1f98e4c1d4cdbb6d8bb7932609e40/2002/
新北市,朱子孟,,1998,樹林後備軍人輔導中心主任,https://councils.g0v.tw/councilors/info/72c1f98e4c1d4cdbb6d8bb7932609e40/1998/
新北市,朱子孟,,2002,樹林後備軍人輔導中心主任,https://councils.g0v.tw/councilors/info/72c1f98e4c1d4cdbb6d8bb7932609e40/2002/
臺北市,吳敦義,中國國民黨,1977,家教、工讀生、臺大「大學新聞社」社長、出席世界青年會議中華民國代表、陸軍軍官學校教官、中國時報記者、臺北市議會議員、古亭區警義中隊副中隊長、臺北市南投縣同鄉會常務理事、古亭區民俗改善實踐會委員、古亭區後備軍人輔導中心顧問、臺北市肉類公會及汽車修理公會顧問、臺北市兵役協會委員。,https://councils.g0v.tw/councilors/info/17d35d1ebe1543f99b704358e6964ec4/1977/
臺北市,吳敦義,中國國民黨,1977,家教、工讀生、臺大「大學新聞社」社長、出席世界青年會議中華民國代表、陸軍軍官學校教官、中國時報記者、臺北市議會議員、古亭區警義中隊副中隊長、臺北市南投縣同鄉會常務理事、古亭區民俗改善實踐會委員、古亭區後備軍人輔導中心顧問、臺北市肉類公會及汽車修理公會顧問、臺北市兵役協會委員。,https://councils.g0v.tw/councilors/info/17d35d1ebe1543f99b704358e6964ec4/1977/
新竹縣,陳英樓,中國國民黨,2009,新埔鎮後備憲兵荷松協會理事長,https://councils.g0v.tw/councilors/info/6b1f3b28c5d94a0bb99be0cb490269bb/2009/
新北市,游文貴,,1986,中和市後備軍人輔導中心組長,https://councils.g0v.tw/councilors/info/b716d7829a46423b95d908a650c95df2/1986/
新北市,游文貴,,1982,中和市後備軍人輔導中心組長,https://councils.g0v.tw/councilors/info/b716d7829a46423b95d908a650c95df2/1982/
新北市,游文貴,,1986,中和市後備軍人輔導中心組長,https://councils.g0v.tw/councilors/info/b716d7829a46423b95d908a650c95df2/1986/
新北市,游文貴,,1982,中和市後備軍人輔導中心組長,https://councils.g0v.tw/councilors/info/b716d7829a46423b95d908a650c95df2/1982/
新北市,許丁木,,1986,後備軍人輔導中心督導員,https://councils.g0v.tw/councilors/info/095863ca04ae43babc55db0746e5a449/1986/
新北市,許丁木,,1990,後備軍人輔導中心督導員,https://councils.g0v.tw/councilors/info/095863ca04ae43babc55db0746e5a449/1990/
新北市,許丁木,,1986,後備軍人輔導中心督導員,https://councils.g0v.tw/councilors/info/095863ca04ae43babc55db0746e5a449/1986/
新北市,許丁木,,1990,後備軍人輔導中心督導員,https://councils.g0v.tw/councilors/info/095863ca04ae43babc55db0746e5a449/1990/
新北市,許再恩,,1973,臺北縣後備憲兵、義警、義交協會顧問,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/1973/
