縣市,姓名,政黨,選舉年度,相關經歷,詳細資訊網址
臺北市,羅宗勝,民主進步黨,2002,阿扁立委北區服務處副主任、阿扁競選第一、二屆市長及第十屆總統副總幹事、臺北市黨部及正義連線執委、臺北市議會黨團幹事長及工務、警衛、交通委員會召集人、臺北市宜蘭縣同鄉會常務理事、彰友會、大同青商會、吉林獅子會、臺北市直轄市議會第八屆議員。,https://councils.g0v.tw/councilors/info/c10d1cbb26d7439486e6edf9e910db2a/2002/
宜蘭縣,楊順木,民主進步黨,2014,4.國際獅子會2004-2005宜蘭會會長。,https://councils.g0v.tw/councilors/info/8888d86a701240819273c7cdd46480f9/2014/
宜蘭縣,楊順木,民主進步黨,2014,5.國際扶輪第2003-2004宜蘭南區社社長。,https://councils.g0v.tw/councilors/info/8888d86a701240819273c7cdd46480f9/2014/
宜蘭縣,張建榮,中國國民黨,2009,(五)國際獅子會300F區總監,https://councils.g0v.tw/councilors/info/1c4ca1fa0b4e433c973b1f3a52460c51/2009/
宜蘭縣,張建榮,中國國民黨,2014,7.國際獅子會300F區總監。,https://councils.g0v.tw/councilors/info/1c4ca1fa0b4e433c973b1f3a52460c51/2014/
臺北市,賴素如,中國國民黨,2002,社教館家庭教育中心榮譽輔導員、北投區公所法律諮詢義務律師、北投、士林區民眾服務社法律諮詢義務律師、北投區調解委員十一年、北投扶輪社、中國文化大學講師、士林社區大學講師、北投社區大學講師、光武技術學院講師、臺北市直轄市議會第八屆議員。,https://councils.g0v.tw/councilors/info/ed46ba38874143de9d1383ddf7821d05/2002/
桃園縣,許森能,,2009,龜山扶輪社2007~2008社長|桃園東方扶輪社創社秘書,https://councils.g0v.tw/councilors/info/f751ba0862c5406f87c9a715b6be3388/2009/
桃園縣,梁新武,,2009,中壢青商會、龍岡同濟會、壢青獅子會、,https://councils.g0v.tw/councilors/info/b4b096b0cf1a4afaaf2c9bf878d1714e/2009/
臺北市,紀榮治,中國國民黨,1973,臺北市第一屆議會議員、臺北市商業會理事、臺北市糖商公會理事長、雙園國際獅子會會長。,https://councils.g0v.tw/councilors/info/db280469164e4f918913d5401fe9b995/1973/
臺北市,陳勝宏,無黨籍,1981,臺北市直轄市議會第三屆議員、陽明山信用合作社理事長、臺灣華嶠貿易公司董事長、瑞昶貿易公司常務理事、臺北市百齡獅子會會長。,https://councils.g0v.tw/councilors/info/fa5ba3b9a4f94f7abee5ee80ef6122f0/1981/
臺北市,陳鶴聲,中國國民黨,1973,臺北市中山區教育會常務理事、中華民國國際獅子會三○○區理事兼副祕書長、臺北市民眾服務社中山分社常務理事。,https://councils.g0v.tw/councilors/info/68a41aff123a44eeaf3d348b69cac665/1973/
臺北市,林鴻基,中國國民黨,1981,臺北市會計學會理事、內湖國中家長會會長、指南客運公司協理、內湖區排球委員會主任委員、西北獅子會財委會召集人。,https://councils.g0v.tw/councilors/info/0ca01f49a7454543adc4adbfb501d059/1981/
新北市,廖金順,,1973,板橋國際扶輪社第9屆社長,https://councils.g0v.tw/councilors/info/36b02654940d45f7b8f6d67a97ce1421/1973/
新北市,廖金順,,1977,板橋國際扶輪社第9屆社長,https://councils.g0v.tw/councilors/info/36b02654940d45f7b8f6d67a97ce1421/1977/
臺北市,陳嘉銘,臺灣團結聯盟,2006,署立台北醫院城區分院（原鐵路醫院）外科醫師十年、陳嘉銘診所院長、一般外科專科醫師、台北市醫師公會會員、外科醫學會會員、台灣醫界聯盟會員、基層醫療協會會員、彰化同鄉會會員、台北市中北獅子會會員、台北市紅十字會義勇救生隊榮譽隊長、台北市議會第七、八、九屆議員,https://councils.g0v.tw/councilors/info/1ac2c0c6bf2848cc93b6cb918c356417/2006/
臺北市,陳嘉銘,民主進步黨,1994,臺北鐵路醫院外科醫師、外科醫學會專科醫生、臺灣醫界聯盟會員、100行動聯盟反閱兵廢惡法運動(91’)、臺灣加入聯合國運動(93’)、反核四運動(94’)、華中地區發展委員會委員。彰化同鄉會會員、中北國際獅子會會員、陳外科診所院長、(刪除台北市第七八屆議員、紅十字會水上安全大隊醫療顧問)。,https://councils.g0v.tw/councilors/info/1ac2c0c6bf2848cc93b6cb918c356417/1994/
新北市,曾義尚,,1973,永和扶輪社第10屆社長,https://councils.g0v.tw/councilors/info/9a7fc4d6059245858afd9d24732f37a0/1973/
新北市,曾義尚,,1977,永和扶輪社第10屆社長,https://councils.g0v.tw/councilors/info/9a7fc4d6059245858afd9d24732f37a0/1977/
新北市,林延湯,,1973,板橋扶輪社社長,https://councils.g0v.tw/councilors/info/5b11e78748aa4c61ad772b4a102f1a2c/1973/
新北市,林延湯,,1968,板橋扶輪社社長,https://councils.g0v.tw/councilors/info/5b11e78748aa4c61ad772b4a102f1a2c/1968/
新北市,林延湯,,1977,板橋扶輪社社長,https://councils.g0v.tw/councilors/info/5b11e78748aa4c61ad772b4a102f1a2c/1977/
新北市,郭川上,,1955,獅子會全國300區副監督,https://councils.g0v.tw/councilors/info/946ae596f98e49f0b55c3e26dc8394f3/1955/
新北市,郭川上,,1958,獅子會全國300區副監督,https://councils.g0v.tw/councilors/info/946ae596f98e49f0b55c3e26dc8394f3/1958/
彰化縣,陳素月,,2009,員林百果山獅子會2010-2011年度會長,https://councils.g0v.tw/councilors/info/dee0e06668394ddebd888f8ab720a0a0/2009/
臺北市,鄭瑞齋,中國國民黨,1977,臺北市地方自治協會理事長、龍山區兵役協會主任委員、書法研究會理事長、私立愛愛院董事、私立格致中學董事、廈們同鄉會理事長、中華民國紅十字會臺北市分會理事、國術會常務理事、國際獅子會中華民國總會副秘書長、體育會常務理事、游泳委員會主任委員、臺北市省轄市議會第三、四、六屆議員及臨時議會、直轄市議會第一、二屆議員。,https://councils.g0v.tw/councilors/info/5c9e7029d3ca4f239c2a2666b293c461/1977/
新北市,葉阿建,,1982,新莊國際獅子會監事,https://councils.g0v.tw/councilors/info/43d390b0be9b477f8493f483d3a854ac/1982/
桃園縣,黃李月琴,,2009,巾幗獅子會會長,https://councils.g0v.tw/councilors/info/d498b59bb93544b79b0bd31c998bea4d/2009/
彰化縣,陳玉姬,,2009,金玉湖獅子會創會長,https://councils.g0v.tw/councilors/info/032133e2b45043ceadbe8630f68cdc0f/2009/
臺北市,劉樹錚,中國國民黨,1981,陸軍部隊軍法官、軍事檢察官、臺北律師公會理事兼總幹事、常務理事、國際扶輪社臺北西南區扶輪社社長。,https://councils.g0v.tw/councilors/info/351fd2c63b074adab878c8640b7173a1/1981/
新北市,柯玟伶,,1977,國際扶輪3490地區總監(東北亞第1位女性總監)|創社社長任內輔導11個扶輪社,https://councils.g0v.tw/councilors/info/09c085c9572740e18edbc76997fdf307/1977/
新北市,柯玟伶,,1986,國際扶輪3490地區總監(東北亞第1位女性總監)|創社社長任內輔導11個扶輪社,https://councils.g0v.tw/councilors/info/09c085c9572740e18edbc76997fdf307/1986/
新北市,柯玟伶,,1982,國際扶輪3490地區總監(東北亞第1位女性總監)|創社社長任內輔導11個扶輪社,https://councils.g0v.tw/councilors/info/09c085c9572740e18edbc76997fdf307/1982/
