縣市,姓名,政黨,選舉年度,相關經歷,詳細資訊網址
澎湖縣,蘇陳綉色,無黨籍,2014,蘇文佐議員助理、澎湖國際蘭馨交流協會第七屆會長、澎湖縣餐飲工會理事、歡喜樓餐廳負責人。真善美聯誼會委員、菊島關懷協會,https://councils.g0v.tw/councilors/info/cc3e4a8099ba4820bc552cf424adeec9/2014/
澎湖縣,藍俊逸,中國國民黨,2014,東連船務有限公司董事長|佳期大飯店董事長,https://councils.g0v.tw/councilors/info/cff4ecec718d47df9020a5b1dede453d/2014/
澎湖縣,藍俊逸,中國國民黨,2014,東連船務有限公司董事長,https://councils.g0v.tw/councilors/info/cff4ecec718d47df9020a5b1dede453d/2014/
金門縣,陳滄江,民主進步黨,2009,金門縣建築開發商業同業公會理事長。,https://councils.g0v.tw/councilors/info/a07eac483f81450480ef7b92430c0681/2009/
金門縣,陳滄江,民主進步黨,2014,金門縣建築開發商業同業公會理事長,https://councils.g0v.tw/councilors/info/a07eac483f81450480ef7b92430c0681/2014/
金門縣,陳滄江,民主進步黨,2009,小板凳工坊負責人。,https://councils.g0v.tw/councilors/info/a07eac483f81450480ef7b92430c0681/2009/
金門縣,陳滄江,民主進步黨,2014,小板凳工坊負責人,https://councils.g0v.tw/councilors/info/a07eac483f81450480ef7b92430c0681/2014/
金門縣,歐陽儀雄,中國國民黨,2014,金門縣歐陽氏基金會董事長,https://councils.g0v.tw/councilors/info/54c1cbe836f74cc8aa3a6c4a79edb41b/2014/
金門縣,歐陽儀雄,無黨籍,2009,健元電子股份有限公司經理,https://councils.g0v.tw/councilors/info/54c1cbe836f74cc8aa3a6c4a79edb41b/2009/
金門縣,歐陽儀雄,中國國民黨,2014,健元電子股份有限公司經理,https://councils.g0v.tw/councilors/info/54c1cbe836f74cc8aa3a6c4a79edb41b/2014/
金門縣,張雲德,中國國民黨,2014,新昇國際開發工程有限公司經理,https://councils.g0v.tw/councilors/info/2aa1b50d6f084959b80f3b63d2baf22b/2014/
