縣市,姓名,政黨,選舉年度,相關經歷,詳細資訊網址
金門縣,洪允典,中國國民黨,2009,青岐祖師廟榮譽會長。,https://councils.g0v.tw/councilors/info/54a5d473ddc441b8a45719e75f246545/2009/
新北市,蔡文地,,1973,板橋潮和宮管理委員會主任委員|板橋保安宮管理委員會主任委員,https://councils.g0v.tw/councilors/info/ed81426c919f438982a2788c89cd62f6/1973/
新北市,蔡文地,,1977,板橋潮和宮管理委員會主任委員|板橋保安宮管理委員會主任委員,https://councils.g0v.tw/councilors/info/ed81426c919f438982a2788c89cd62f6/1977/
宜蘭縣,楊順木,民主進步黨,2014,6.新生帝王廟主任委員。,https://councils.g0v.tw/councilors/info/8888d86a701240819273c7cdd46480f9/2014/
宜蘭縣,張建榮,中國國民黨,2009,(六)宜蘭市照應宮、三清宮主任委員,https://councils.g0v.tw/councilors/info/1c4ca1fa0b4e433c973b1f3a52460c51/2009/
宜蘭縣,張建榮,中國國民黨,2014,4.宜蘭市昭應宮主任委員。|5.宜蘭市三清宮主任委員。,https://councils.g0v.tw/councilors/info/1c4ca1fa0b4e433c973b1f3a52460c51/2014/
新北市,蔡黃隆,,2002,土城市震安宮主任委員,https://councils.g0v.tw/councilors/info/e27be7a9c3db44d3a6b4de60cb999f67/2002/
新北市,蔡黃隆,,2006,土城市震安宮主任委員,https://councils.g0v.tw/councilors/info/e27be7a9c3db44d3a6b4de60cb999f67/2006/
新北市,鄭登文,,1982,板橋市皇星宮管理委員會主任委員,https://councils.g0v.tw/councilors/info/5137d739b69a463ca1933eefc3854e1f/1982/
高雄市,林義迪,中國國民黨,2010,三農官、興南宮委員|旗山天后宮副主任委員,https://councils.g0v.tw/councilors/info/4ed9d23b1ce44057a3218c345c4a4e88/2010/
雲林縣,王清貴,中國國民黨,2009,南天宮管理委員會主任委員、國民黨第十區黨部委員、東勢鄉後備軍人輔導中心輔導組長、東勢鄉都市計畫委員、東勢鄉鄉民代表會第11.12屆代表、雲林縣民眾服務站常務理事、議會第12.13.14.15.16屆議員、雲林縣議會第十六屆議員。,https://councils.g0v.tw/councilors/info/c547660d35884b168950b960df63595f/2009/
新北市,李梅樹,,1951,三峽祖師廟重建主任委員,https://councils.g0v.tw/councilors/info/6b8e964deea0427ba4d15518504f8288/1951/
新北市,李梅樹,,1953,三峽祖師廟重建主任委員,https://councils.g0v.tw/councilors/info/6b8e964deea0427ba4d15518504f8288/1953/
新北市,李梅樹,,1955,三峽祖師廟重建主任委員,https://councils.g0v.tw/councilors/info/6b8e964deea0427ba4d15518504f8288/1955/
彰化縣,張永泉,,2009,明聖宮慈善會第6、7屆會長|明聖宮管理委員會主任委員,https://councils.g0v.tw/councilors/info/75d089c718e34e2d930998d7d4fedf10/2009/
新北市,徐秀廷,,1982,板橋北天宮名譽會長,https://councils.g0v.tw/councilors/info/9b846261714b4cccbf232e05fa6472a4/1982/
新北市,徐秀廷,,1986,板橋北天宮名譽會長,https://councils.g0v.tw/councilors/info/9b846261714b4cccbf232e05fa6472a4/1986/
新北市,徐秀廷,,1990,板橋北天宮名譽會長,https://councils.g0v.tw/councilors/info/9b846261714b4cccbf232e05fa6472a4/1990/
新北市,徐秀廷,,1994,板橋北天宮名譽會長,https://councils.g0v.tw/councilors/info/9b846261714b4cccbf232e05fa6472a4/1994/
新北市,徐秀廷,,1998,板橋北天宮名譽會長,https://councils.g0v.tw/councilors/info/9b846261714b4cccbf232e05fa6472a4/1998/
高雄市,徐榮延,無黨籍,2010,鳳山仁聖宮顧問,https://councils.g0v.tw/councilors/info/9cc459970a234a3f8d2a9618225050d9/2010/
高雄市,徐榮延,無黨籍,2010,雷府大將公廟常務監事,https://councils.g0v.tw/councilors/info/9cc459970a234a3f8d2a9618225050d9/2010/
新北市,曾文振,,1990,板橋市埔墘福德宮附設鶴齡交誼中心會長,https://councils.g0v.tw/councilors/info/4de3ffd7991d4240be8e6760658a80ab/1990/
新北市,曾文振,,1994,板橋市埔墘福德宮附設鶴齡交誼中心會長,https://councils.g0v.tw/councilors/info/4de3ffd7991d4240be8e6760658a80ab/1994/
新北市,曾文振,,1998,板橋市埔墘福德宮附設鶴齡交誼中心會長,https://councils.g0v.tw/councilors/info/4de3ffd7991d4240be8e6760658a80ab/1998/
新北市,曾文振,,2002,板橋市埔墘福德宮附設鶴齡交誼中心會長,https://councils.g0v.tw/councilors/info/4de3ffd7991d4240be8e6760658a80ab/2002/
新北市,曾文振,,2006,板橋市埔墘福德宮附設鶴齡交誼中心會長,https://councils.g0v.tw/councilors/info/4de3ffd7991d4240be8e6760658a80ab/2006/
新北市,吳清池,,1986,慈惠宮老人會顧問|皇天宮顧問,https://councils.g0v.tw/councilors/info/5cfe6015ddcf41258db4ea71bc0306af/1986/
臺北市,鄭興成,民主進步黨,1985,東園國小、萬華國中、華江女子國中家長會會長、中國佛教會臺北市分會理事、財團法人廣照宮董事會董事長、臺北市西藥商業同業公會顧問、臺北市直轄市議會第二、三、四屆議員。,https://councils.g0v.tw/councilors/info/93e1afd813cc4735b0f54abe4a2fdb99/1985/
臺北市,鄭興成,無黨籍,1981,臺北市直轄市議會第二、三屆議員、東園國小、萬華國中家長會會長、廣照宮、私立愛愛院董事、臺北市義警大隊大隊附、臺北市南區棒球聯盟會理事長、臺北市雙園區體育會常務理事。,https://councils.g0v.tw/councilors/info/93e1afd813cc4735b0f54abe4a2fdb99/1981/
臺北市,鄭興成,無黨籍,1977,臺北市議會議員、東園國校家長會會長、財團法人廣照宮董事會董事長。,https://councils.g0v.tw/councilors/info/93e1afd813cc4735b0f54abe4a2fdb99/1977/
臺北市,鄭興成,無黨籍,1973,東園國校家長會會長、財團法人廣照宮董事會董事長、東園國校少年棒球隊總幹事、協豐貿易公司總經理、妙安堂製藥廠公司常務董事。,https://councils.g0v.tw/councilors/info/93e1afd813cc4735b0f54abe4a2fdb99/1973/
雲林縣,林逢錦,無黨籍,2009,"雲林縣排球委員會主任委員、北港鎮北辰國小家長會長、北港朝天宮第七屆董事、北港義消顧問、雲林縣第14屆.15屆.16屆縣議員 。",https://councils.g0v.tw/councilors/info/ea1c56bbfade4ab7a97310dba0993c8a/2009/
南投縣,簡沛霖,無黨籍,2009,草屯鎮紫微宮主任委員,https://councils.g0v.tw/councilors/info/26ec69f26a1a485ab245e9a05d2158a8/2009/
臺南市,陳文科,中國國民黨,2010,7.勝和宮顧問|8.十三甲武德宮委員,https://councils.g0v.tw/councilors/info/dd440e28a54947e7b0e13b243311c48f/2010/
臺南市,陳文科,中國國民黨,2010,6.德高厝上帝廟副主委,https://councils.g0v.tw/councilors/info/dd440e28a54947e7b0e13b243311c48f/2010/
高雄市,洪平朗,民主進步黨,2010,4.鼎金保安宮顧問,https://councils.g0v.tw/councilors/info/c253c3e4f4fc4ad298f817f790ca0169/2010/
新北市,呂子昌,,1986,淡水正興宮管理委員會榮譽主任委員,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/1986/
新北市,呂子昌,,1982,淡水正興宮管理委員會榮譽主任委員,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/1982/
新北市,呂子昌,,1990,淡水正興宮管理委員會榮譽主任委員,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/1990/
新北市,呂子昌,,1994,淡水正興宮管理委員會榮譽主任委員,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/1994/
新北市,呂子昌,,1998,淡水正興宮管理委員會榮譽主任委員,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/1998/
新北市,呂子昌,,2002,淡水正興宮管理委員會榮譽主任委員,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/2002/
新北市,呂子昌,,2006,淡水正興宮管理委員會榮譽主任委員,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/2006/
新北市,呂子昌,民主進步黨,2010,淡水正興宮管理委員會榮譽主任委員,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/2010/
新北市,黃阿春,,1986,樹林鎮鎮南宮常務董事,https://councils.g0v.tw/councilors/info/41074b4d5e8f4068a7c28ecd190206ec/1986/
新北市,黃阿春,,1982,樹林鎮鎮南宮常務董事,https://councils.g0v.tw/councilors/info/41074b4d5e8f4068a7c28ecd190206ec/1982/
新北市,黃阿春,,1990,樹林鎮鎮南宮常務董事,https://councils.g0v.tw/councilors/info/41074b4d5e8f4068a7c28ecd190206ec/1990/
宜蘭縣,陳正男,民主進步黨,2014,"2.南方澳南天宮金媽祖 主任委員。",https://councils.g0v.tw/councilors/info/305639171b954f5b9daec6139b0bfca1/2014/
宜蘭縣,陳正男,無黨籍,2009,南方澳南天宮金媽祖主任委員。,https://councils.g0v.tw/councilors/info/305639171b954f5b9daec6139b0bfca1/2009/
