縣市,姓名,政黨,選舉年度,相關經歷,詳細資訊網址
金門縣,歐陽儀雄,中國國民黨,2014,金門縣歐陽氏基金會董事長,https://councils.g0v.tw/councilors/info/54c1cbe836f74cc8aa3a6c4a79edb41b/2014/
金門縣,陳玉珍,無黨籍,2014,財團法人陳水木議長慈善基金會執行長,https://councils.g0v.tw/councilors/info/08d2c7f08cda42b8ab99bfd0dd94255e/2014/
宜蘭縣,張建榮,中國國民黨,2009,(九)宜蘭縣社會福利聯合勸募基金會常務監察人,https://councils.g0v.tw/councilors/info/1c4ca1fa0b4e433c973b1f3a52460c51/2009/
臺北市,魏憶龍,無黨籍,1998,新黨發起人。臺北市直轄市議會第七屆議員。醫事法律學會監事。傑人會理、監事。交通大學、文化大學、淡江大學講師。聯合報產業工會法律顧問。臺北市公車產業工會法律顧問。樹仁殘障福利事業基金會董事。理運國際法律事務所主持律師。,https://councils.g0v.tw/councilors/info/d4f924efb65147c9adeedf98253c38cd/1998/
臺北市,魏憶龍,新黨,1994,理運國際法律事務所律師。醫事法律學會監事。新黨發起人。交通大學講師、文化大學講師、淡江大學講師。樹仁殘障福利事業基金會董事。殘障才藝發展協會顧問。聯合報產業工會暨臺北公車管理處產業工會義務法律顧問。社會運動協會法制長。,https://councils.g0v.tw/councilors/info/d4f924efb65147c9adeedf98253c38cd/1994/
宜蘭縣,陳俊宇,民主進步黨,2014,4.大湖國小教育基金會董事。,https://councils.g0v.tw/councilors/info/38bcbceb1ffd4ff5b8f0f2a32c1b174b/2014/
桃園縣,李訓求,,2009,蘆竹鄉社教文教基金會董事,https://councils.g0v.tw/councilors/info/efc984a471434c2d80614bf116e74bdf/2009/
新北市,許再恩,,1973,財團法人臺北縣文化基金會董事|財團法人青潭坑文教公益基金會董事長,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/1973/
新北市,許再恩,,1986,財團法人臺北縣文化基金會董事|財團法人青潭坑文教公益基金會董事長,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/1986/
新北市,許再恩,,1982,財團法人臺北縣文化基金會董事|財團法人青潭坑文教公益基金會董事長,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/1982/
新北市,許再恩,,1990,財團法人臺北縣文化基金會董事|財團法人青潭坑文教公益基金會董事長,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/1990/
新北市,許再恩,,1994,財團法人臺北縣文化基金會董事|財團法人青潭坑文教公益基金會董事長,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/1994/
新北市,許再恩,,1998,財團法人臺北縣文化基金會董事|財團法人青潭坑文教公益基金會董事長,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/1998/
新北市,許再恩,,2002,財團法人臺北縣文化基金會董事|財團法人青潭坑文教公益基金會董事長,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/2002/
臺北市,蔣乃辛,中國國民黨,2006,台北市勞工檢查所檢查員。台北市政府新建工程處幫工程司。台北市第四、五、六、七、八、九屆市議員。消費者文教基金會公共政策委員。台北市勞資關係協會常務理事。台北市家庭扶助中心兒童保護委員會副主任委員。江蘇同鄉會理事。政治大學校友會理事。,https://councils.g0v.tw/councilors/info/9db6f02b37e148a5adc52e492638bb26/2006/
臺北市,蔣乃辛,中國國民黨,2002,臺北市勞工檢查所檢查員。臺北市政府新建工程處幫工程司。臺北市直轄市議會第四、五、六、七、八屆議員。消費者文教基金會公共政策委員。臺北市勞資關係協會常務理事。臺北市家庭扶助中心兒童保護委員會副主任委員。江蘇同鄉會理事。政治大學校友會理事。大同大學講師。,https://councils.g0v.tw/councilors/info/9db6f02b37e148a5adc52e492638bb26/2002/
臺北市,蔣乃辛,中國國民黨,1998,臺北市勞工檢查所檢查員。臺北市政府新建工程處幫工程師。臺北市直轄市議會第四、五、六、七屆議員。消費者文教基金會公共政策委員會委員。臺北市勞資關係協會常務理事。大同工學院講師。金華國中、小學家長會榮譽會長。臺北市家庭扶助中心兒童保護委員會副主任委員。江蘇同鄉會理事。,https://councils.g0v.tw/councilors/info/9db6f02b37e148a5adc52e492638bb26/1998/
臺北市,蔣乃辛,中國國民黨,1994,臺北市勞工檢查所檢查員。臺北市政府工務局新建工程處幫工程司。臺北市直轄市議會第四、五、六屆議員。中華民國消費者文教基金會公共政策委員會委員。臺北市勞資關係協會常務理事。臺北市家庭扶助中心兒童保護委員會副主任委員。臺北市江蘇同鄉會理事。大同工學院講師。,https://councils.g0v.tw/councilors/info/9db6f02b37e148a5adc52e492638bb26/1994/
臺北市,謝長廷,民主進步黨,1985,律師、臺北平民法律服務中心主任、中國比較法學會理監事、雙溪啟智文教基金會董事、關懷雜誌社社長、臺灣民主雜誌社發行人、臺北市直轄市議會第四屆議員。,https://councils.g0v.tw/councilors/info/429b9636b08343268361919f3cba40cc/1985/
彰化縣,陳素月,,2009,財團法人拓展文教基金會執行長,https://councils.g0v.tw/councilors/info/dee0e06668394ddebd888f8ab720a0a0/2009/
彰化縣,黃秀芳,,2009,關懷文教基金會執行長,https://councils.g0v.tw/councilors/info/1ba7c76713c440f4bb4f9b7dfc79a4dc/2009/
臺北市,徐佳青,民主進步黨,2006,台灣女人連線秘書長、台北市女性權益促進會秘書長、人本教育基金會921專案主任、學生參選聯盟召集人、1112反核大遊行副總指揮、綠色和平電台節目主持人、長老教會總會青年部書記、2001南區五虎將競選副總幹事、第九屆台北市議員。,https://councils.g0v.tw/councilors/info/b854b7e3da8141e084ef6fd77a9bb8de/2006/
臺北市,徐佳青,民主進步黨,2002,臺灣女人連線秘書長。臺北市女性權益促進會秘書長。人本教育基金會921專案主任。學生參選聯盟召集人。1112反核大遊行副總指揮。綠色和平電臺節目主持人。長老教會總會青年部書記。2001南區五虎將競選副總幹事。,https://councils.g0v.tw/councilors/info/b854b7e3da8141e084ef6fd77a9bb8de/2002/
臺北市,徐佳青,民主進步黨,2010,台灣女人連線秘書長、台北市女性權益促進會秘書長、人本教育基金會921專案主任、綠色和平電台節目主持人、台灣新社會智庫理事長、民進黨中常委、台北市議員,https://councils.g0v.tw/councilors/info/b854b7e3da8141e084ef6fd77a9bb8de/2010/
臺北市,王正德,中國國民黨,2010,台北市第八、九、十屆議員，建國中學校友會理事長、台灣南天扶輪社社長、北市兵役協會理事長、北市文化經濟交流協會理事長、北市馬拉松協會理事長、山東同鄉會理事兼副祕書長、國光基金會董事、北市青溪協會理事。,https://councils.g0v.tw/councilors/info/08b3c1c09fa040eda92da62549fac8ef/2010/
臺北市,舒子寬,無黨籍,1969,戰時兒童保育會保教科保育股幹事、交通部秘書、農復會家庭主婦衛生教育工作計劃執行人、國立西南聯合大學校友會會長、亞洲婦女問題研究會發起人及首任總幹事、臺北市孤兒福利協會發起人及首任總幹事、美國洛氏基金會獎助赴東南亞、印度及日本考察社會福利及家庭計劃工作、美國亞洲協會資助赴美國參加世界人口與家庭計劃會議、美國國務院邀請赴美國參加社會福利及社區發展專家國際交換計劃、出席在菲律賓舉行之亞洲婦女領袖會議並發起組織亞洲婦女聯盟、出席在臺北舉行之東亞人口研討會。,https://councils.g0v.tw/councilors/info/1ff38b942a614855ac7345c20a64420f/1969/
新北市,許正鴻,中國國民黨,2010,財團法人青潭坑文教公益基金會顧問,https://councils.g0v.tw/councilors/info/d036a30129074b2bb7081a1526a5dd9b/2010/
新北市,張晉婷,民主進步黨,2010,財團法人林阿仁基金會執行長,https://councils.g0v.tw/councilors/info/93b66703438444e5aafab1a325693f1b/2010/
新北市,吳善九,,2002,臺北縣環境關懷文教基金會董事長,https://councils.g0v.tw/councilors/info/40b4b76f27164d65885a4489c2244e7f/2002/
新北市,吳善九,,1994,臺北縣環境關懷文教基金會董事長,https://councils.g0v.tw/councilors/info/40b4b76f27164d65885a4489c2244e7f/1994/
臺北市,陳水扁,無黨籍,1981,華夏海事商務法律事務所負責人、臺北市國際青商會章顧問、出席世界青商大會我國代表、中國比較法學基金會董事、青輔會企管人才訓練班講座。,https://councils.g0v.tw/councilors/info/404ba26bffd8479d8665d4949fd27ef3/1981/
臺北市,郭石吉,中國國民黨,1994,臺北市直轄市議會第四、五、六屆議員、臺北市議會第五屆副議長、臺北市後備憲兵聯絡中心主任、臺北市郭氏宗親會理事長、醒吾商專兼任講師、郭欽定文教基金會董事長、臺北市推動社區發展協會理事長、郭元益雜誌發行人、郭元益食品關係企業董事長。,https://councils.g0v.tw/councilors/info/eedc4d5cc0124cc3bba602fc9ad0d30e/1994/
臺北市,賁馨儀,民主進步黨,1994,光仁小學教師，八十年代、深耕、自由時代等雜誌社編輯，黨外編輯作家聯誼誼會總幹事，謝長廷政治助理，臺灣新文化及臺灣文藝雜誌社社務委員，蕃薯文化文教基金會創辦人，噴射機民主有線電視台創辦人，臺北市直轄市議會第六屆議員。,https://councils.g0v.tw/councilors/info/2d8b19ad6a9e41bdb9d3995638c04aef/1994/
桃園縣,劉邦鉉,,2009,義興文教基金會第一、二屆董事長,https://councils.g0v.tw/councilors/info/7b15bf1ea5e447ce9515cbdd398d6ce7/2009/
新北市,李正權,,1994,社會無醉基金會董事,https://councils.g0v.tw/councilors/info/99f0624be972426c9eb0c620c44bac0b/1994/
新北市,宋進財Falong‧Opa,,1986,天主教博愛基金會常務董事。,https://councils.g0v.tw/councilors/info/bffbb46bf050487fb2d796454a426129/1986/
新北市,宋進財Falong‧Opa,,1994,天主教博愛基金會常務董事。,https://councils.g0v.tw/councilors/info/bffbb46bf050487fb2d796454a426129/1994/
新北市,宋進財Falong‧Opa,,1998,天主教博愛基金會常務董事。,https://councils.g0v.tw/councilors/info/bffbb46bf050487fb2d796454a426129/1998/
新北市,宋進財Falong‧Opa,,2002,天主教博愛基金會常務董事。,https://councils.g0v.tw/councilors/info/bffbb46bf050487fb2d796454a426129/2002/
新北市,宋進財Falong‧Opa,,2006,天主教博愛基金會常務董事。,https://councils.g0v.tw/councilors/info/bffbb46bf050487fb2d796454a426129/2006/
桃園縣,蔣中千,,2009,榮民榮眷基金會常務董事,https://councils.g0v.tw/councilors/info/aba205ad3cfd4f6198e233ad9192f549/2009/
新北市,陳茂正,,1986,青園兒童教育基金會董事長,https://councils.g0v.tw/councilors/info/95501859352a42069b45a922e009d5bd/1986/
新北市,陳茂正,,1982,青園兒童教育基金會董事長,https://councils.g0v.tw/councilors/info/95501859352a42069b45a922e009d5bd/1982/
雲林縣,廖清祥,民主進步黨,2009,雲林縣議會第16屆議員、行政院客家委員會委員、二崙國中校友會會長、雲林縣東吳大學校友會會長、雲林縣客家文化促進協會理事長、雲林縣健身操協會顧問、士心文教基金會常務理事、雲林科技大學人文學院講師。,https://councils.g0v.tw/councilors/info/b082449f10154a91855d2619e5d26217/2009/
新北市,廖正良,,2006,財團法人崇德文教基金會發起人、董事長,https://councils.g0v.tw/councilors/info/a43d735ddb9f4d85bbf2cd41583f476d/2006/
新北市,廖正良,中國國民黨,2014,崇德文教基金會發起人、董事長,https://councils.g0v.tw/councilors/info/a43d735ddb9f4d85bbf2cd41583f476d/2014/
新北市,廖正良,中國國民黨,2010,財團法人崇德文教基金會發起人、董事長,https://councils.g0v.tw/councilors/info/a43d735ddb9f4d85bbf2cd41583f476d/2010/
新北市,陳明義,中國國民黨,2014,台灣幸福基金會董事長,https://councils.g0v.tw/councilors/info/a9090a7a36a24fd19bb64cd9bf21d9f4/2014/
新北市,黃建清,,1986,汐止仁愛救急基金會副會長,https://councils.g0v.tw/councilors/info/4e65791d393d479a931a425aea21c4bc/1986/
新北市,黃建清,,1982,汐止仁愛救急基金會副會長,https://councils.g0v.tw/councilors/info/4e65791d393d479a931a425aea21c4bc/1982/
新北市,黃建清,,1990,汐止仁愛救急基金會副會長,https://councils.g0v.tw/councilors/info/4e65791d393d479a931a425aea21c4bc/1990/
新北市,黃建清,,1994,汐止仁愛救急基金會副會長,https://councils.g0v.tw/councilors/info/4e65791d393d479a931a425aea21c4bc/1994/
新北市,黃建清,,1998,汐止仁愛救急基金會副會長,https://councils.g0v.tw/councilors/info/4e65791d393d479a931a425aea21c4bc/1998/
新北市,呂子昌,,1986,淡信慈善基金會董事長,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/1986/
新北市,呂子昌,,1982,淡信慈善基金會董事長,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/1982/
新北市,呂子昌,,1990,淡信慈善基金會董事長,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/1990/
新北市,呂子昌,,1994,淡信慈善基金會董事長,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/1994/
新北市,呂子昌,,1998,淡信慈善基金會董事長,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/1998/
新北市,呂子昌,,2002,淡信慈善基金會董事長,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/2002/
新北市,呂子昌,,2006,淡信慈善基金會董事長,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/2006/
新北市,呂子昌,民主進步黨,2010,淡信慈善基金會董事長,https://councils.g0v.tw/councilors/info/44958488f913455ca37ad632c2622af8/2010/
宜蘭縣,林棋山,無黨籍,2014,6.南安國中基金會董事長。,https://councils.g0v.tw/councilors/info/fa8d47d4b7a74471962c286d119d322e/2014/
宜蘭縣,林棋山,中國國民黨,2009,一、南安國中教育基金會董事長。,https://councils.g0v.tw/councilors/info/fa8d47d4b7a74471962c286d119d322e/2009/
臺北市,林晉章,中國國民黨,1989,消費者文教基金會籌備總幹事、發明人協會理事長、『我愛臺北』雜誌創辦人。,https://councils.g0v.tw/councilors/info/a544111382944c819541f06fa210ff61/1989/
臺北市,林奕華,中國國民黨,2002,臺北市直轄市議會第八屆議員、世新大學講師、中華民國世界土風舞總會理事長、救國團臺北市真善美聯誼會會長、臺北市讀經協會副理事長、連震東先生文教基金會副執行長、國防管理學院兼任教官、行政院陸委會副研究員、全球中國學聯第一屆副召集人、臺灣大學第三屆學生會會長。,https://councils.g0v.tw/councilors/info/e88ca11134b247549ac27195930f3086/2002/
臺北市,林奕華,中國國民黨,1998,世新大學講師、中華民國世界土風舞總會理事長、救國團臺北市真善美聯誼會會長、臺北市讀經協會副理事長、連震東先生文基金會副執行長、中華青年交流協會執行秘書、國防管理學院兼任教官、行政院大陸委員會港澳處副研究員、全球中國學聯第一屆副召集人、臺灣大學第三屆學生會會長、臺灣大學學生代表大會副議長。,https://councils.g0v.tw/councilors/info/e88ca11134b247549ac27195930f3086/1998/
臺北市,藍美津,民主進步黨,1998,黃信介、黃天福競選立委、陳水扁競選市議員、吳淑珍競選立委總幹事，尤清、呂秀蓮、蘇貞昌等競選縣長助講員。蓬萊島系列雜誌總經理。民進黨創黨黨員，臺北市直轄市議會第五、六、七屆議員。代表民進黨角逐第七屆臺北市議會議長，勵馨基金會顧問，臺北市社會福利聯盟諮詢委員，玉蘭花會員。,https://councils.g0v.tw/councilors/info/be1642ae571540d89b004900aee43e79/1998/
臺北市,鄧家基,親民黨,1998,"1.復興工專講師。2.水美工程公司環境工程師。3.臺北市環保局第一科科長。4.UCLA  土木系助教及研究員。5.環境品質文教基金會高級研究員兼副祕書長。6.新黨臺北市競選暨發展委員會召集人。7.新黨全國競選發展委員會副秘書長。8.臺北市直轄市議會第七屆議員。",https://councils.g0v.tw/councilors/info/9f22cdbef75944dd8104376ced913d55/1998/
臺北市,鄧家基,新黨,1994,1.復興工專講師。2.水美工程公司環境工程師。3.台北市環保局第一科科長。4.加州大學洛杉磯校區土木暨環境工程系助教及研究員。5.環境品質文教基金會高級研究員兼副祕書長。,https://councils.g0v.tw/councilors/info/9f22cdbef75944dd8104376ced913d55/1994/
桃園縣,羅文欽,,2009,中華民國勞工事務基金會副會長,https://councils.g0v.tw/councilors/info/35f21259f9974bf78bc38b8fc81dd722/2009/
新北市,張當木,,2002,德音文教基金會董事長,https://councils.g0v.tw/councilors/info/c188ed14e70d443285e4b29a310a3090/2002/
臺北市,陳玉梅,中國國民黨,2010,第七、八、九、十屆台北市議員、台北市棒球委員會主任委員、台北市快慢速壘球協會理事長、台北市救難協會理事長、兒福聯盟董事、靖娟基金會董事、台北市教師會政策顧問、陳重光文教基金會執行長、聯合勸募協會顧問,https://councils.g0v.tw/councilors/info/92667a31e61340c6a54777f987af6434/2010/
臺北市,陳玉梅,中國國民黨,2006,第七、八、九屆台北市議員、台北市救難協會理事長、台北市壘球協會理事長、台北市牙醫師公會顧問、兒福聯盟董事、聯合勸募顧問、救國團台北市團委會委員、台北市機車公會顧問、陳重光基金會執行長。,https://councils.g0v.tw/councilors/info/92667a31e61340c6a54777f987af6434/2006/
臺北市,陳玉梅,中國國民黨,1998,陳重光文教基金會執行長。臺北市友愛殘障福利協會顧問。臺北市直轄市議會第七屆議員。中華民國槌球協會副會長。臺北市親子活動發展協會理事長。臺北市美倫國際藍馨交流協會理事長。臺北市大同區青年聯誼會會長。臺北市婦女保健協會理事。,https://councils.g0v.tw/councilors/info/92667a31e61340c6a54777f987af6434/1998/
臺北市,陳玉梅,中國國民黨,1994,留日同學會青山學院大學分會會長。長榮航空空勤人員訓練輔導員。陳重光文教基金會執行長。中華民國世新社會服務協進會秘書長。中華民國槌球協會副秘書長。大同區槌球委員會副主任委員。臺北市友愛殘障福利協會顧問。,https://councils.g0v.tw/councilors/info/92667a31e61340c6a54777f987af6434/1994/
高雄市,高閔琳,民主進步黨,2014,八、財團法人青平台基金會會務總監,https://councils.g0v.tw/councilors/info/2b8be5711fbf465eac59a2ddeb835cfc/2014/
臺南市,張世賢,中國國民黨,2014,財團法人白河兒童文教基金會董事,https://councils.g0v.tw/councilors/info/1fef78e4de0d44aea4f43dcec2727fc1/2014/
臺南市,張世賢,中國國民黨,2010,六、財團法人文教基金會常務董事,https://councils.g0v.tw/councilors/info/1fef78e4de0d44aea4f43dcec2727fc1/2010/
臺北市,許富男,民主進步黨,1998,參與民主運動廿多年、民進黨創黨黨員、全國代表第一、五、七屆、康寧祥競選立委三屆組織部組長、陳水扁立委東區服務處主任、八三年阿扁競選市長東區總幹事、阿扁市府秘書處理「與民有約」事宜、天母扶輪社理事與公關、社會服務主委、器官移植策進基金會副執行長。,https://councils.g0v.tw/councilors/info/b8636740e03445e4953e77ca4bdda435/1998/
宜蘭縣,游祥德,民主進步黨,2014,校委員會召集人、教育基金會董事長、宜蘭縣民防大隊顧問、冬山鄉第十三、,https://councils.g0v.tw/councilors/info/ff378d7e36f248a6aa5654c39e8e51c7/2014/
宜蘭縣,游祥德,民主進步黨,2009,教育基金會董事長、開山宮管理委員會主任委員、宜蘭縣民防大隊顧問,https://councils.g0v.tw/councilors/info/ff378d7e36f248a6aa5654c39e8e51c7/2009/
