縣市,姓名,政黨,選舉年度,相關經歷,詳細資訊網址
金門縣,洪允典,中國國民黨,2009,金門義消第一大隊顧問。,https://councils.g0v.tw/councilors/info/54a5d473ddc441b8a45719e75f246545/2009/
連江縣,張永江,無黨籍,2009,"2. 東引義消顧問",https://councils.g0v.tw/councilors/info/d3e0396394f2410c9617dd9f93d8fefe/2009/
連江縣,張永江,無黨籍,2014,"2. 東引義消顧問",https://councils.g0v.tw/councilors/info/d3e0396394f2410c9617dd9f93d8fefe/2014/
新北市,趙長江,,1973,臺北縣義勇消防警察大隊長,https://councils.g0v.tw/councilors/info/3d2188c06d3c49dda823bd7fdae49bbb/1973/
新北市,趙長江,,1968,臺北縣義勇消防警察大隊長,https://councils.g0v.tw/councilors/info/3d2188c06d3c49dda823bd7fdae49bbb/1968/
新北市,趙長江,,1977,臺北縣義勇消防警察大隊長,https://councils.g0v.tw/councilors/info/3d2188c06d3c49dda823bd7fdae49bbb/1977/
宜蘭縣,林岳賢,中國國民黨,2014,7.宜蘭縣義消大隊顧問團副團長。,https://councils.g0v.tw/councilors/info/2951ccf28a7a4c469f9e0aa32c175aff/2014/
宜蘭縣,張建榮,中國國民黨,2014,3.宜蘭縣義勇消防總隊總隊長。,https://councils.g0v.tw/councilors/info/1c4ca1fa0b4e433c973b1f3a52460c51/2014/
宜蘭縣,張建榮,中國國民黨,2009,(四)宜蘭縣義消總隊總隊長,https://councils.g0v.tw/councilors/info/1c4ca1fa0b4e433c973b1f3a52460c51/2009/
新北市,蔡黃隆,,2002,土城市義消中隊副中隊長,https://councils.g0v.tw/councilors/info/e27be7a9c3db44d3a6b4de60cb999f67/2002/
新北市,蔡黃隆,,2006,土城市義消中隊副中隊長,https://councils.g0v.tw/councilors/info/e27be7a9c3db44d3a6b4de60cb999f67/2006/
新北市,李國書,,2006,義消分隊長,https://councils.g0v.tw/councilors/info/203f2ba2550f43f69f1261c6dc3f8537/2006/
桃園縣,許森能,,2009,迴龍義消分隊長|龜山義消中隊副中隊長,https://councils.g0v.tw/councilors/info/f751ba0862c5406f87c9a715b6be3388/2009/
宜蘭縣,蔡文益,中國國民黨,2014,8.頭城民防、義消分隊顧問。,https://councils.g0v.tw/councilors/info/e5b40d8f2800406eac88ca4919e8f24d/2014/
