縣市,姓名,政黨,選舉年度,相關經歷,詳細資訊網址
金門縣,謝東龍,無黨籍,2009,金門縣警察之友會會長,https://councils.g0v.tw/councilors/info/e3ca16ba224a40d08ac4e4958ca17b5d/2009/
金門縣,謝東龍,中國國民黨,2014,金門縣警察之友會會長,https://councils.g0v.tw/councilors/info/e3ca16ba224a40d08ac4e4958ca17b5d/2014/
新北市,趙長江,,1973,臺北縣義勇消防警察大隊長,https://councils.g0v.tw/councilors/info/3d2188c06d3c49dda823bd7fdae49bbb/1973/
新北市,趙長江,,1968,臺北縣義勇消防警察大隊長,https://councils.g0v.tw/councilors/info/3d2188c06d3c49dda823bd7fdae49bbb/1968/
新北市,趙長江,,1977,臺北縣義勇消防警察大隊長,https://councils.g0v.tw/councilors/info/3d2188c06d3c49dda823bd7fdae49bbb/1977/
宜蘭縣,林岳賢,中國國民黨,2009,宜蘭警友會警民副主委。,https://councils.g0v.tw/councilors/info/2951ccf28a7a4c469f9e0aa32c175aff/2009/
宜蘭縣,林岳賢,中國國民黨,2014,5.宜蘭警友會副主委。,https://councils.g0v.tw/councilors/info/2951ccf28a7a4c469f9e0aa32c175aff/2014/
桃園縣,許森能,,2009,迴龍警友站榮譽顧問,https://councils.g0v.tw/councilors/info/f751ba0862c5406f87c9a715b6be3388/2009/
宜蘭縣,蔡文益,中國國民黨,2014,4.頭城義警顧問團長。,https://councils.g0v.tw/councilors/info/e5b40d8f2800406eac88ca4919e8f24d/2014/
宜蘭縣,蔡文益,中國國民黨,2009,4.頭城義警顧問團長。,https://councils.g0v.tw/councilors/info/e5b40d8f2800406eac88ca4919e8f24d/2009/
新北市,許丁木,,1986,義警便衣分隊副分隊長|永和義警秀朗分隊長|永和市義警中隊指導員,https://councils.g0v.tw/councilors/info/095863ca04ae43babc55db0746e5a449/1986/
新北市,許丁木,,1990,義警便衣分隊副分隊長|永和義警秀朗分隊長|永和市義警中隊指導員,https://councils.g0v.tw/councilors/info/095863ca04ae43babc55db0746e5a449/1990/
新北市,許再恩,,1973,臺北縣後備憲兵、義警、義交協會顧問,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/1973/
新北市,許再恩,,1986,臺北縣後備憲兵、義警、義交協會顧問,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/1986/
新北市,許再恩,,1982,臺北縣後備憲兵、義警、義交協會顧問,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/1982/
新北市,許再恩,,1990,臺北縣後備憲兵、義警、義交協會顧問,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/1990/
新北市,許再恩,,1994,臺北縣後備憲兵、義警、義交協會顧問,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/1994/
新北市,許再恩,,1998,臺北縣後備憲兵、義警、義交協會顧問,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/1998/
新北市,許再恩,,2002,臺北縣後備憲兵、義警、義交協會顧問,https://councils.g0v.tw/councilors/info/f4ad9883429a4968b3a04e0f4b824c6b/2002/
新北市,廖金順,,1973,義警大隊督導,https://councils.g0v.tw/councilors/info/36b02654940d45f7b8f6d67a97ce1421/1973/
新北市,廖金順,,1977,義警大隊督導,https://councils.g0v.tw/councilors/info/36b02654940d45f7b8f6d67a97ce1421/1977/
高雄市,朱信強,無黨籍,2010,（二）警察局旗山分局警友會副主任,https://councils.g0v.tw/councilors/info/33774794c139463a9b64d14fd389715c/2010/
高雄市,朱信強,無黨籍,2010,（二）警察局旗山分局警友會副主任,https://councils.g0v.tw/councilors/info/33774794c139463a9b64d14fd389715c/2010/
