縣市,姓名,政黨,選舉年度,相關經歷,詳細資訊網址
金門縣,唐麗輝,無黨籍,2009,金門縣婦女福利委員,https://councils.g0v.tw/councilors/info/85e909d2ed154d938f88606b695a6b3e/2009/
金門縣,唐麗輝,無黨籍,2014,金門縣婦女權益促進會總幹事|金門縣婦女福利委員,https://councils.g0v.tw/councilors/info/85e909d2ed154d938f88606b695a6b3e/2014/
金門縣,許玉昭,中國國民黨,2014,金門縣婦女聯合會理事長,https://councils.g0v.tw/councilors/info/e9b53e9f81254e469806f2780c4f4f1f/2014/
金門縣,許華玉,中國國民黨,2014,金門縣婦女會理事長,https://councils.g0v.tw/councilors/info/94c519d219c0430986b36dfc8e15c06e/2014/
金門縣,許華玉,中國國民黨,2009,金門縣婦女會理事長,https://councils.g0v.tw/councilors/info/94c519d219c0430986b36dfc8e15c06e/2009/
金門縣,洪麗萍,中國國民黨,2014,烈嶼鄉婦女分會理事,https://councils.g0v.tw/councilors/info/ac77083b0c29473f99b26dd14e03b464/2014/
金門縣,洪麗萍,中國國民黨,2009,烈嶼鄉婦女分會理事,https://councils.g0v.tw/councilors/info/ac77083b0c29473f99b26dd14e03b464/2009/
澎湖縣,呂黃春金,民主進步黨,2014,澎湖縣水噹噹婦女會理事長,https://councils.g0v.tw/councilors/info/36bbfae837fd44f29234231cd97e5d3f/2014/
桃園縣,李麗珠,,2009,龜山鄉婦女會第20屆理事長|龜山分局婦女志工中隊長,https://councils.g0v.tw/councilors/info/0721cec59623412b8ea35dca662190c2/2009/
桃園縣,沐平波,,2009,桃園縣中壢市婦女會顧問,https://councils.g0v.tw/councilors/info/e1d515765efe45e8acd7fa7595770e15/2009/
新竹縣,上官秋燕,,2009,新竹縣工商婦女協會,https://councils.g0v.tw/councilors/info/4724674bce1e4260aa9740c9298e50f4/2009/
新北市,林美美,,1973,北縣淡水鎮婦女會幹事,https://councils.g0v.tw/councilors/info/9b7dab5a88174252be01d6c984f97fda/1973/
新北市,林美美,,1968,北縣淡水鎮婦女會幹事,https://councils.g0v.tw/councilors/info/9b7dab5a88174252be01d6c984f97fda/1968/
新北市,林美美,,1977,北縣淡水鎮婦女會幹事,https://councils.g0v.tw/councilors/info/9b7dab5a88174252be01d6c984f97fda/1977/
新北市,林美美,,1986,北縣淡水鎮婦女會幹事,https://councils.g0v.tw/councilors/info/9b7dab5a88174252be01d6c984f97fda/1986/
新北市,林美美,,1982,北縣淡水鎮婦女會幹事,https://councils.g0v.tw/councilors/info/9b7dab5a88174252be01d6c984f97fda/1982/
臺北市,周英英,中國國民黨,1985,松山國民小學教員、和平國中教員、松山區婦女會理事長、臺北市直轄市議會第二、三、四屆議員。,https://councils.g0v.tw/councilors/info/23ac5bc64db649498faa09ba59fee81a/1985/
彰化縣,陳錦玉,,2009,彰化縣工商婦女會和美分會會長,https://councils.g0v.tw/councilors/info/2e7d5d323e614b818c90c9ce79b3371c/2009/
彰化縣,黃秀芳,,2009,台灣關懷婦女協會理事長,https://councils.g0v.tw/councilors/info/1ba7c76713c440f4bb4f9b7dfc79a4dc/2009/
新北市,葛天璇,,1958,中央印製廠婦女輔導委員會委員|婦女國語識字班副主任|三重鎮婦女會常務理事|臺北縣婦女會設計委員,https://councils.g0v.tw/councilors/info/a6d85db7ca8844c59f0367f629cecdb2/1958/
新北市,葛天璇,,1961,中央印製廠婦女輔導委員會委員|婦女國語識字班副主任|三重鎮婦女會常務理事|臺北縣婦女會設計委員,https://councils.g0v.tw/councilors/info/a6d85db7ca8844c59f0367f629cecdb2/1961/
新北市,陳英,,1964,南港鎮婦女會理事長|臺北市黨部婦女工作委員會委員,https://councils.g0v.tw/councilors/info/5e0414d776ee46aea89573bb4aaf1670/1964/
新北市,潘何滿,,1955,臺灣省婦女會理事|臺北縣婦女會常務理事|臺北縣汐止鎮婦女會理事長,https://councils.g0v.tw/councilors/info/3e561b1e06e3489f82d58262f45d27d7/1955/
臺北市,盧林素妴,中國國民黨,1973,臺北市老松國小教員、臺北市建成區民防婦女隊副隊長、臺北市建成區婦女會理事、臺北市婦女會常務理事。,https://councils.g0v.tw/councilors/info/a6b23f4cb40c42fd99b11a218c2a9f3f/1973/
臺北市,盧林素妴,中國國民黨,1977,老松國小教員、臺北市婦女會常務理事、臺北市主婦合作協會理事、臺北市國術會秘書長及顧問、臺北市義警大隊督導、臺北市民防團建成區婦女隊隊長、建成區體育會、兵役協會常務理事、建成區民俗改善實踐委員會委員、臺北市直轄市議會第二屆議員。,https://councils.g0v.tw/councilors/info/a6b23f4cb40c42fd99b11a218c2a9f3f/1977/
新北市,楊林貴美,,1986,婦女會理事長|板橋市婦女會理事長|北縣工商婦女聯誼會會長,https://councils.g0v.tw/councilors/info/1776b11400c0470aac964081125b84fc/1986/
新北市,楊林貴美,,1982,婦女會理事長|板橋市婦女會理事長|北縣工商婦女聯誼會會長,https://councils.g0v.tw/councilors/info/1776b11400c0470aac964081125b84fc/1982/
新北市,賴張珠玉,,1955,陽明山管理局婦女會理事長,https://councils.g0v.tw/councilors/info/844ae2075e5d4264af8c6d892a5f261f/1955/
新北市,賴張珠玉,,1958,陽明山管理局婦女會理事長,https://councils.g0v.tw/councilors/info/844ae2075e5d4264af8c6d892a5f261f/1958/
新北市,賴張珠玉,,1961,陽明山管理局婦女會理事長,https://councils.g0v.tw/councilors/info/844ae2075e5d4264af8c6d892a5f261f/1961/
新北市,賴張珠玉,,1964,陽明山管理局婦女會理事長,https://councils.g0v.tw/councilors/info/844ae2075e5d4264af8c6d892a5f261f/1964/
臺北市,賴張珠玉,中國國民黨,1969,訓導主任、主任委員、顧問、董事長、婦女大隊長、臺北縣第三、四、五、六屆議員、臺北市臨時議會議員。,https://councils.g0v.tw/councilors/info/844ae2075e5d4264af8c6d892a5f261f/1969/
南投縣,宋懷琳,中國國民黨,2009,投縣婦女會理事長、南投縣土風舞協會理事,https://councils.g0v.tw/councilors/info/24e1e19f33164aeaa5118957f64d7685/2009/
彰化縣,陳玉姬,,2009,溪湖鎮婦女會縣級代表,https://councils.g0v.tw/councilors/info/032133e2b45043ceadbe8630f68cdc0f/2009/
臺北市,陳雪芬,中國國民黨,1989,臺北平民法律服務中心主任律師，催討被佔用市有房舍案律師、臺北市婦女會法律顧問、臺北市立陽明教養院家長聯誼法律顧問。,https://councils.g0v.tw/councilors/info/f0632ae8a7054eb290b051dbcc01c515/1989/
臺北市,陳秀惠,民主進步黨,1998,主婦聯盟創會董事長。反核運動參與十餘年。第二、三屆民進黨不分區國大代表。民進黨婦女部首任執行長。社區婦女協會創會理事長、承辦南港婦女服務中心。臺北市婦權會委員。首創「愛心商店」推動社區治安會議。十八年從事社會公益事業的義工。,https://councils.g0v.tw/councilors/info/1198d8abecf64313a2cf607c9f62ac1a/1998/
新北市,柯玟伶,,1977,臺北縣婦女會常務理事|三重婦女會理事長|創立三重工商婦女聯誼,https://councils.g0v.tw/councilors/info/09c085c9572740e18edbc76997fdf307/1977/
新北市,柯玟伶,,1986,臺北縣婦女會常務理事|三重婦女會理事長|創立三重工商婦女聯誼,https://councils.g0v.tw/councilors/info/09c085c9572740e18edbc76997fdf307/1986/
新北市,柯玟伶,,1982,臺北縣婦女會常務理事|三重婦女會理事長|創立三重工商婦女聯誼,https://councils.g0v.tw/councilors/info/09c085c9572740e18edbc76997fdf307/1982/
新北市,柯玟伶,,1990,臺北縣婦女會常務理事|三重婦女會理事長|創立三重工商婦女聯誼,https://councils.g0v.tw/councilors/info/09c085c9572740e18edbc76997fdf307/1990/
新北市,柯玟伶,,1994,臺北縣婦女會常務理事|三重婦女會理事長|創立三重工商婦女聯誼,https://councils.g0v.tw/councilors/info/09c085c9572740e18edbc76997fdf307/1994/
連江縣,李金梅,中國國民黨,2009,"7. 連江縣婦女會理事長",https://councils.g0v.tw/councilors/info/dec41da801ab4e769e5f191f7c3ce5d1/2009/
新北市,林雪美,,1964,三峽婦女會理事,https://councils.g0v.tw/councilors/info/d0fe9d371681443497e76db27c814ce1/1964/
臺北市,舒子寬,無黨籍,1969,戰時兒童保育會保教科保育股幹事、交通部秘書、農復會家庭主婦衛生教育工作計劃執行人、國立西南聯合大學校友會會長、亞洲婦女問題研究會發起人及首任總幹事、臺北市孤兒福利協會發起人及首任總幹事、美國洛氏基金會獎助赴東南亞、印度及日本考察社會福利及家庭計劃工作、美國亞洲協會資助赴美國參加世界人口與家庭計劃會議、美國國務院邀請赴美國參加社會福利及社區發展專家國際交換計劃、出席在菲律賓舉行之亞洲婦女領袖會議並發起組織亞洲婦女聯盟、出席在臺北舉行之東亞人口研討會。,https://councils.g0v.tw/councilors/info/1ff38b942a614855ac7345c20a64420f/1969/
新北市,林吳雪英,,1973,三重市婦女會理事長|臺北縣婦女會顧問,https://councils.g0v.tw/councilors/info/6667464d62fd4c339978e02faa590bce/1973/
新北市,鄭綉瑛,,2006,樹林市婦女會理事,https://councils.g0v.tw/councilors/info/3a3afdd33c4344a0a1c31d3120c8aea8/2006/
新北市,張月娥,,1982,新店市婦女會常務理事|臺北縣婦女會顧問,https://councils.g0v.tw/councilors/info/fb2934e04aea4483a34b82e560d5cc47/1982/
新北市,林義仁,,1994,婦女會、青商會、義警、義消、民防等顧問,https://councils.g0v.tw/councilors/info/020954d232e444e2a509ccbba3ef25ea/1994/
新北市,楊曹壹,,1955,鎮婦女會常務理事|省、縣婦女會代表、理事,https://councils.g0v.tw/councilors/info/d4e8fda9df20413db8a448730caf516b/1955/
新北市,林淑芬,,1998,消防局婦女防火宣導隊大隊長,https://councils.g0v.tw/councilors/info/86c1db04555940e3a009fdb154ba26bf/1998/
新北市,林淑芬,,2002,消防局婦女防火宣導隊大隊長,https://councils.g0v.tw/councilors/info/86c1db04555940e3a009fdb154ba26bf/2002/
新北市,雷毓清,,1953,臺北縣婦女運動委員會主任委員|臺北市中山區婦女會義務幹事,https://councils.g0v.tw/councilors/info/76f6dc10bc59431392fe8494e1c20624/1953/
新北市,雷毓清,,1958,臺北縣婦女運動委員會主任委員|臺北市中山區婦女會義務幹事,https://councils.g0v.tw/councilors/info/76f6dc10bc59431392fe8494e1c20624/1958/
新北市,雷毓清,,1961,臺北縣婦女運動委員會主任委員|臺北市中山區婦女會義務幹事,https://councils.g0v.tw/councilors/info/76f6dc10bc59431392fe8494e1c20624/1961/
新北市,劉鴻卿,,1968,臺北縣婦女會理事,https://councils.g0v.tw/councilors/info/4cc02da64b93408eb251a10ecb9435f3/1968/
新北市,劉鴻卿,,1958,臺北縣婦女會理事,https://councils.g0v.tw/councilors/info/4cc02da64b93408eb251a10ecb9435f3/1958/
新北市,劉鴻卿,,1964,臺北縣婦女會理事,https://councils.g0v.tw/councilors/info/4cc02da64b93408eb251a10ecb9435f3/1964/
新北市,郭儒鈞,,1977,新店市婦女會理事長,https://councils.g0v.tw/councilors/info/2b2d06bb44bc4585b0956260d72be15c/1977/
桃園縣,張文瑜,,2009,真善美婦女舞蹈推廣協會理事長,https://councils.g0v.tw/councilors/info/cdf5405b294041599fb683a1bc1defb8/2009/
新北市,朱佩瑛,,1998,親民黨中和婦女會會長,https://councils.g0v.tw/councilors/info/4bf71d647baf406898d028fe4dd22a79/1998/
新北市,朱佩瑛,,2002,親民黨中和婦女會會長,https://councils.g0v.tw/councilors/info/4bf71d647baf406898d028fe4dd22a79/2002/
新北市,紀邱秀花,,1986,五股鄉婦女會理事,https://councils.g0v.tw/councilors/info/6c2ded76cd6d4acaaca6a47fcc1c15ba/1986/
桃園縣,陳麗莉,,2009,2.蘆竹鄉婦女會理事長,https://councils.g0v.tw/councilors/info/7b00b11d2c5245259764396398c5e112/2009/
桃園市,陳麗莉,中國國民黨,2014,蘆竹鄉婦女會理事長,https://councils.g0v.tw/councilors/info/7b00b11d2c5245259764396398c5e112/2014/
臺北市,方廖水蓮,中國國民黨,1977,中山區婦女會理事長、中國國民黨臺北市黨部委員、臺北市國際職業婦女協會副會長、臺北市第一女子中學校友會理事長、中國國民黨第11次全國代表大會代表、津津食品工業股份有限公司董事、東榮旅行社董事長、維鴻福眾企業股份有限公司常務董事。,https://councils.g0v.tw/councilors/info/41c2eed5db0a49c5aa1728cd55db95cf/1977/
新北市,蔡洪嬌娥,,1973,新竹縣婦女會理事,https://councils.g0v.tw/councilors/info/44c4a7ad9c8640c3ad3757e556f6f985/1973/
新北市,蔡洪嬌娥,,1964,新竹縣婦女會理事,https://councils.g0v.tw/councilors/info/44c4a7ad9c8640c3ad3757e556f6f985/1964/
臺東縣,余秀芳,無黨籍,2009,三、海端鄉婦女會總幹事,https://councils.g0v.tw/councilors/info/dcc0c4be2710461b82fda814fffed51e/2009/
新北市,陳梅嬌,,1998,臺北縣婦女權益促進委員會|消防局婦女防火宣導分隊長|工商婦女聯誼會第3屆會長,https://councils.g0v.tw/councilors/info/f96737bec86a43fa8c52e36355c64f44/1998/
新北市,陳梅嬌,,2002,臺北縣婦女權益促進委員會|消防局婦女防火宣導分隊長|工商婦女聯誼會第3屆會長,https://councils.g0v.tw/councilors/info/f96737bec86a43fa8c52e36355c64f44/2002/
新北市,李玉香,,1973,臺北縣中和鄉婦女會常務理事|臺北縣婦女會理事常務監事|臺北縣婦女會常務監事|河南同鄉會婦女工作委員會委員,https://councils.g0v.tw/councilors/info/16afa98f48d84044b885d3eb94622c8c/1973/
新北市,李玉香,,1977,臺北縣中和鄉婦女會常務理事|臺北縣婦女會理事常務監事|臺北縣婦女會常務監事|河南同鄉會婦女工作委員會委員,https://councils.g0v.tw/councilors/info/16afa98f48d84044b885d3eb94622c8c/1977/
新北市,李玉香,,1986,臺北縣中和鄉婦女會常務理事|臺北縣婦女會理事常務監事|臺北縣婦女會常務監事|河南同鄉會婦女工作委員會委員,https://councils.g0v.tw/councilors/info/16afa98f48d84044b885d3eb94622c8c/1986/
新北市,李玉香,,1982,臺北縣中和鄉婦女會常務理事|臺北縣婦女會理事常務監事|臺北縣婦女會常務監事|河南同鄉會婦女工作委員會委員,https://councils.g0v.tw/councilors/info/16afa98f48d84044b885d3eb94622c8c/1982/
新北市,李玉香,,1990,臺北縣中和鄉婦女會常務理事|臺北縣婦女會理事常務監事|臺北縣婦女會常務監事|河南同鄉會婦女工作委員會委員,https://councils.g0v.tw/councilors/info/16afa98f48d84044b885d3eb94622c8c/1990/
新北市,陳桂香,,1982,臺北縣婦女會理監事,https://councils.g0v.tw/councilors/info/7870092dd547485687bb6ce05b5f061d/1982/
新北市,李碧玉,,1986,臺北縣婦女會理事、常務監事|新店市婦女會理事長,https://councils.g0v.tw/councilors/info/c55831f121464844bd3d0d1a87847548/1986/
新北市,李碧玉,,1990,臺北縣婦女會理事、常務監事|新店市婦女會理事長,https://councils.g0v.tw/councilors/info/c55831f121464844bd3d0d1a87847548/1990/
新北市,李碧玉,,1994,臺北縣婦女會理事、常務監事|新店市婦女會理事長,https://councils.g0v.tw/councilors/info/c55831f121464844bd3d0d1a87847548/1994/
臺南市,黃麗招,中國國民黨,2010,安南區婦女會15屆常務理事|安南區婦女會16屆常務監事|安南區婦女慈愛會會長,https://councils.g0v.tw/councilors/info/438f8c4cd16f4ce983524c21534653b4/2010/
臺北市,周陳阿春,中國國民黨,1985,"臺北市婦女會理事長",https://councils.g0v.tw/councilors/info/38933d144b9f4b64b1fcfbdd4a55a067/1985/
臺北市,周陳阿春,中國國民黨,1981,"臺北市婦女會理事長",https://councils.g0v.tw/councilors/info/38933d144b9f4b64b1fcfbdd4a55a067/1981/
臺北市,周陳阿春,中國國民黨,1977,"臺北市婦女會理事長",https://councils.g0v.tw/councilors/info/38933d144b9f4b64b1fcfbdd4a55a067/1977/
臺北市,周陳阿春,中國國民黨,1973,"臺北市婦女會理事長",https://councils.g0v.tw/councilors/info/38933d144b9f4b64b1fcfbdd4a55a067/1973/
臺北市,周陳阿春,中國國民黨,1969,"臺北市婦女會理事長",https://councils.g0v.tw/councilors/info/38933d144b9f4b64b1fcfbdd4a55a067/1969/
臺東縣,朱連濟,中國國民黨,2009,五、達仁鄉婦女會常務理事。|七、臺東縣婦女防火宣導大隊幹事。,https://councils.g0v.tw/councilors/info/b69912fca48a481b859b21358228962e/2009/
臺東縣,謝明珠,無黨籍,2009,五、台東縣婦女會理事長。,https://councils.g0v.tw/councilors/info/1b1e3a13ea36401c90d95ebb19e4c3e0/2009/
新北市,楊春妹,中國國民黨,2010,中華民國婦女會聯合會諮詢委員,https://councils.g0v.tw/councilors/info/a92f8afd0dd14c1f8902c4403cfd5059/2010/
新北市,周雅玲,,2006,臺北縣黨部婦展會委員,https://councils.g0v.tw/councilors/info/e99c15a57cc244c8b022f1dfda18e905/2006/
新北市,周雅玲,,2002,臺北縣黨部婦展會委員,https://councils.g0v.tw/councilors/info/e99c15a57cc244c8b022f1dfda18e905/2002/
新北市,周雅玲,民主進步黨,2010,臺北縣黨部婦展會委員,https://councils.g0v.tw/councilors/info/e99c15a57cc244c8b022f1dfda18e905/2010/
新北市,周雅玲,民主進步黨,2014,臺北縣黨部婦展會委員,https://councils.g0v.tw/councilors/info/e99c15a57cc244c8b022f1dfda18e905/2014/
高雄市,陸淑美,中國國民黨,2014,三、岡山鎮婦女會理事長,https://councils.g0v.tw/councilors/info/a1422c273edb4df69a329f50dc362b51/2014/
高雄市,陸淑美,中國國民黨,2010,馬英九總統選舉高雄縣婦女後援會總會長,https://councils.g0v.tw/councilors/info/a1422c273edb4df69a329f50dc362b51/2010/
新北市,黃阿春,,1986,樹林鎮婦女會理事長|臺北縣婦女工作委員會委員,https://councils.g0v.tw/councilors/info/41074b4d5e8f4068a7c28ecd190206ec/1986/
新北市,黃阿春,,1982,樹林鎮婦女會理事長|臺北縣婦女工作委員會委員,https://councils.g0v.tw/councilors/info/41074b4d5e8f4068a7c28ecd190206ec/1982/
新北市,黃阿春,,1990,樹林鎮婦女會理事長|臺北縣婦女工作委員會委員,https://councils.g0v.tw/councilors/info/41074b4d5e8f4068a7c28ecd190206ec/1990/
臺北市,李定中,民主進步黨,1985,臺灣電力公司材料處股長、臺北市國際職業婦女協會發起人、秘書、理事、雷聲雜誌社顧問、立法委員雷渝齊服務處顧問。,https://councils.g0v.tw/councilors/info/3c305de3d49e4cfe9cd17ce7f05b0138/1985/
