縣市,姓名,政黨,選舉年度,相關經歷,詳細資訊網址
金門縣,許華玉,中國國民黨,2014,金門家扶中心溫媽媽|古城國小愛心媽媽社會長,https://councils.g0v.tw/councilors/info/94c519d219c0430986b36dfc8e15c06e/2014/
金門縣,謝東龍,無黨籍,2009,柏村國小家長會會長|金湖國中家長會副會長,https://councils.g0v.tw/councilors/info/e3ca16ba224a40d08ac4e4958ca17b5d/2009/
金門縣,謝東龍,中國國民黨,2014,柏村國小家長會會長|金湖國中家長會副會長|開瑄國小家長會副會長,https://councils.g0v.tw/councilors/info/e3ca16ba224a40d08ac4e4958ca17b5d/2014/
金門縣,洪允典,中國國民黨,2009,上岐國小家長會顧問。,https://councils.g0v.tw/councilors/info/54a5d473ddc441b8a45719e75f246545/2009/
連江縣,陳貽斌,中國國民黨,2014,"5. 敬恆國中小家長會會長",https://councils.g0v.tw/councilors/info/f3db081c3e634ea19bb6cd9eff274133/2014/
連江縣,周瑞國,中國國民黨,2014,"2. 板里國小家長會會長|3. 中山國中家長會會長",https://councils.g0v.tw/councilors/info/4e483e08d9314d9e81f0dde1565fb04b/2014/
連江縣,曹丞君,無黨籍,2009,"4. 馬祖防衛指揮部志工媽媽",https://councils.g0v.tw/councilors/info/5902bdd8f5874937a789a1ed21cfe8e8/2009/
連江縣,曹丞君,無黨籍,2014,"4. 馬祖防衛指揮部志工媽媽",https://councils.g0v.tw/councilors/info/5902bdd8f5874937a789a1ed21cfe8e8/2014/
新北市,蔡文地,,1973,江翠國小家長會長|莒光國小家長會長|江翠國中家長會長,https://councils.g0v.tw/councilors/info/ed81426c919f438982a2788c89cd62f6/1973/
新北市,蔡文地,,1977,江翠國小家長會長|莒光國小家長會長|江翠國中家長會長,https://councils.g0v.tw/councilors/info/ed81426c919f438982a2788c89cd62f6/1977/
宜蘭縣,江碧華,中國國民黨,2009,二、黎明國小、蘭陽女中家長會長。,https://councils.g0v.tw/councilors/info/3e0e14cb0a0142ba87a5692735381e0f/2009/
臺北市,呂瀅瀅,民主進步黨,2002,陳水扁總統競選指揮中心活動部專員、民進黨第十屆全國黨代表、芝麻街美語石牌教學中心主任、士林葫蘆國小家長會顧問、婦幼關懷協會執行長,https://councils.g0v.tw/councilors/info/57736729741d4c1180f81c9def4817e8/2002/
新北市,林海瑞,,1994,"台北縣立五華國小第二,三屆家長會會長",https://councils.g0v.tw/councilors/info/f88d235ce19b4395b76bdff4a858bfb8/1994/
新北市,李國書,,2006,大新莊區家長會長聯誼會顧問|泰山國小家長會長|五股鄉國中小學家長會顧問,https://councils.g0v.tw/councilors/info/203f2ba2550f43f69f1261c6dc3f8537/2006/
桃園縣,許森能,,2009,迴龍國中小學第3、4屆家長會長,https://councils.g0v.tw/councilors/info/f751ba0862c5406f87c9a715b6be3388/2009/
宜蘭縣,黃定和,中國國民黨,2014,9.宜蘭縣家長會長協會會員。,https://councils.g0v.tw/councilors/info/f987ea6eaa9547d0bd9b3c0087e9b5ec/2014/
