縣市,姓名,政黨,選舉年度,相關經歷,詳細資訊網址
宜蘭縣,江碧華,無黨籍,2014,9.婦聯會常委。,https://councils.g0v.tw/councilors/info/3e0e14cb0a0142ba87a5692735381e0f/2014/
新北市,賴張珠玉,,1955,陽明山婦聯會常務委員,https://councils.g0v.tw/councilors/info/844ae2075e5d4264af8c6d892a5f261f/1955/
新北市,賴張珠玉,,1958,陽明山婦聯會常務委員,https://councils.g0v.tw/councilors/info/844ae2075e5d4264af8c6d892a5f261f/1958/
新北市,賴張珠玉,,1961,陽明山婦聯會常務委員,https://councils.g0v.tw/councilors/info/844ae2075e5d4264af8c6d892a5f261f/1961/
新北市,賴張珠玉,,1964,陽明山婦聯會常務委員,https://councils.g0v.tw/councilors/info/844ae2075e5d4264af8c6d892a5f261f/1964/
彰化縣,陳玉姬,,2009,溪湖清溪婦聯會副主任委員|溪湖鎮婦聯會主任委員,https://councils.g0v.tw/councilors/info/032133e2b45043ceadbe8630f68cdc0f/2009/
新北市,鄭綉瑛,,2006,青溪婦聯會樹林支分會主委|臺北縣退伍軍人協會樹林婦聯會主委,https://councils.g0v.tw/councilors/info/3a3afdd33c4344a0a1c31d3120c8aea8/2006/
南投縣,許粧,中國國民黨,2009,草屯鎮婦聯會主委、中國醫藥大學推廣兼任,https://councils.g0v.tw/councilors/info/1166e4065b2c44d1889025dfa8ebef9c/2009/
桃園縣,陳麗莉,,2009,7.婦聯會蘆竹支會主委,https://councils.g0v.tw/councilors/info/7b00b11d2c5245259764396398c5e112/2009/
桃園市,陳麗莉,中國國民黨,2014,婦聯會蘆竹支會主委,https://councils.g0v.tw/councilors/info/7b00b11d2c5245259764396398c5e112/2014/
新北市,李玉香,,1973,婦聯會日新新村工作隊員|婦聯會日新新村工作隊員,https://councils.g0v.tw/councilors/info/16afa98f48d84044b885d3eb94622c8c/1973/
新北市,李玉香,,1977,婦聯會日新新村工作隊員|婦聯會日新新村工作隊員,https://councils.g0v.tw/councilors/info/16afa98f48d84044b885d3eb94622c8c/1977/
新北市,李玉香,,1986,婦聯會日新新村工作隊員|婦聯會日新新村工作隊員,https://councils.g0v.tw/councilors/info/16afa98f48d84044b885d3eb94622c8c/1986/
新北市,李玉香,,1982,婦聯會日新新村工作隊員|婦聯會日新新村工作隊員,https://councils.g0v.tw/councilors/info/16afa98f48d84044b885d3eb94622c8c/1982/
新北市,李玉香,,1990,婦聯會日新新村工作隊員|婦聯會日新新村工作隊員,https://councils.g0v.tw/councilors/info/16afa98f48d84044b885d3eb94622c8c/1990/
臺北市,林奕華,中國國民黨,2010,台北市議員、世新大學講師、中國國民黨中常委、臺北市議會國民黨團書記長、婦聯會青溪分會臺北市支會主委、救國團台北市團委會主委、中華民國身心障礙服務推展協會理事長、台北市女童軍會理事長、中華社交舞協會理事長,https://councils.g0v.tw/councilors/info/e88ca11134b247549ac27195930f3086/2010/
臺北市,李彥秀,中國國民黨,2006,台北市議會第八、九屆市議員、中國國民黨第十七次全國代表大會中央委員、南港區體育會理事長、台北市環保義工大隊顧問、青溪婦聯會南港支分會主任委員、94年馬英九競選黨主席南港後援會會長,https://councils.g0v.tw/councilors/info/6f0b632a9f074934929f342645ed5188/2006/
臺北市,李彥秀,中國國民黨,2010,台北市議會第八、九、十屆市議員、南港區體育會理事長、榮譽理事長、青溪婦聯會南港支分會主任委員、台北市環保義工大隊顧問、中國國民黨十七、十八次全國代表大會中央委員、台北市議會中國國民黨黨團書記長。美國斐伯坦大學企業管理研究所碩士班研究,https://councils.g0v.tw/councilors/info/6f0b632a9f074934929f342645ed5188/2010/
高雄市,翁瑞珠,民主進步黨,2010,高雄縣田寮鄉婦聯會主任委員,https://councils.g0v.tw/councilors/info/97b51451ea364a1996d0277513aa88ec/2010/
臺北市,黃幼中,親民黨,2002,立法委員秦慧珠辦公室主任、臺北市推動社區發展協會總幹事、臺北市榮欣婦聯會第二屆委員。,https://councils.g0v.tw/councilors/info/19dca09a971f46619b24817298e7f548/2002/
臺南市,曾培雅,中國國民黨,2010,台南市家長聯合會理事長。崇學國小家長會長。木工工會顧問。營造工會顧問。心空慈善會理事。台南市東區婦女會顧問。台南市東區青溪婦聯會顧問。台南市東區婦工會顧問。現就讀中華醫事科技大,https://councils.g0v.tw/councilors/info/dd16cf87634644c6a7ce1722e1139f60/2010/
桃園縣,劉曾玉春,,2009,中壢婦聯會委員,https://councils.g0v.tw/councilors/info/cc8dfd38f2714c7bb0411818e8975b3b/2009/
桃園市,劉曾玉春,無黨團結聯盟,2014,中壢婦聯會委員,https://councils.g0v.tw/councilors/info/cc8dfd38f2714c7bb0411818e8975b3b/2014/
