縣市,姓名,政黨,選舉年度,相關經歷,詳細資訊網址
澎湖縣,劉陳昭玲,中國國民黨,2014,救國團澎湖縣團委會主任委員,https://councils.g0v.tw/councilors/info/31c8c3f879f8455abbd9ce802a2ac740/2014/
宜蘭縣,黃定和,中國國民黨,2014,5.救國團宜蘭縣團務指導委員會指導委員。,https://councils.g0v.tw/councilors/info/f987ea6eaa9547d0bd9b3c0087e9b5ec/2014/
宜蘭縣,蔡文益,中國國民黨,2009,3.救國團頭城團委會會長。,https://councils.g0v.tw/councilors/info/e5b40d8f2800406eac88ca4919e8f24d/2009/
桃園縣,沐平波,,2009,救國團真善美聯誼會委員,https://councils.g0v.tw/councilors/info/e1d515765efe45e8acd7fa7595770e15/2009/
新北市,游文貴,,1986,救國團執行秘書,https://councils.g0v.tw/councilors/info/b716d7829a46423b95d908a650c95df2/1986/
新北市,游文貴,,1982,救國團執行秘書,https://councils.g0v.tw/councilors/info/b716d7829a46423b95d908a650c95df2/1982/
臺北市,馮定國,中國國民黨,1985,加拿大IBM系統分析師、文化大學應數系主任、中央、工技學院、輔大、中原講師、救國團臺北市大安、城中龍山團務委員顧問。,https://councils.g0v.tw/councilors/info/b1610ee3f0284278ba833802c58c1856/1985/
臺北市,王博文,無黨籍,1973,中國青年反共救國團松山區委員會委員、總幹事，松山區後備軍人輔導組組長、營長。,https://councils.g0v.tw/councilors/info/c4196f8f862a4739bb7dcef450581b90/1973/
南投縣,林憶如,中國國民黨,2009,南投縣第十六屆縣議員、救國團南投縣真善,https://councils.g0v.tw/councilors/info/318622b2f7f149bd8e010e186cf80c0c/2009/
新北市,張娛樂,,1990,救國團烏來鄉團委會總幹事|救國團烏來鄉團委會常務委員,https://councils.g0v.tw/councilors/info/86aa96807c4b432d96b6c6ed95c546db/1990/
新北市,張娛樂,,1986,救國團烏來鄉團委會總幹事|救國團烏來鄉團委會常務委員,https://councils.g0v.tw/councilors/info/86aa96807c4b432d96b6c6ed95c546db/1986/
臺北市,王正德,中國國民黨,2002,山東同鄉會理事兼副秘書長、救國團信義區團委會委員、臺北市公共安全協會理事長、建國中學校友會理事長、南天扶輪社理事、衛理女中家長會副會長、北市民防、義警、義消、義交等顧問、臺北市直轄市議會第八屆議員。,https://councils.g0v.tw/councilors/info/08b3c1c09fa040eda92da62549fac8ef/2002/
臺北市,王正德,中國國民黨,1998,中國國民黨十五全黨代表。山東同鄉會副秘書長、青島同鄉會常務理事、救國團信義區團委會委員、臺北市榮服處松山信義區義務聯絡員、吳興國小家長會副會長、九廣工業有限公司總經理。,https://councils.g0v.tw/councilors/info/08b3c1c09fa040eda92da62549fac8ef/1998/
新北市,周清龍,,1982,救國團瑞芳團委會總幹事,https://councils.g0v.tw/councilors/info/3b30c74e93584c2da1411bdf5caa77f4/1982/
新北市,曾文振,,1990,救國團臺北縣工青一隊召集人,https://councils.g0v.tw/councilors/info/4de3ffd7991d4240be8e6760658a80ab/1990/
新北市,曾文振,,1994,救國團臺北縣工青一隊召集人,https://councils.g0v.tw/councilors/info/4de3ffd7991d4240be8e6760658a80ab/1994/
新北市,曾文振,,1998,救國團臺北縣工青一隊召集人,https://councils.g0v.tw/councilors/info/4de3ffd7991d4240be8e6760658a80ab/1998/
新北市,曾文振,,2002,救國團臺北縣工青一隊召集人,https://councils.g0v.tw/councilors/info/4de3ffd7991d4240be8e6760658a80ab/2002/
新北市,曾文振,,2006,救國團臺北縣工青一隊召集人,https://councils.g0v.tw/councilors/info/4de3ffd7991d4240be8e6760658a80ab/2006/
新北市,胡憲章,,1994,青年救國團瑞芳團委會委員,https://councils.g0v.tw/councilors/info/2c102661952a477683e363ca68e09923/1994/
新北市,盧嘉辰,,1994,救國團義工,https://councils.g0v.tw/councilors/info/f421745cb8284b58bbeaac836a1c5a2d/1994/
新北市,盧嘉辰,,1998,救國團義工,https://councils.g0v.tw/councilors/info/f421745cb8284b58bbeaac836a1c5a2d/1998/
新北市,蔡榮隆,,1982,救國團永和團委員總幹事,https://councils.g0v.tw/councilors/info/ac2ac04fd46e46db9660490f663e0613/1982/
新北市,余有澄,,2002,救國團土城團委會會長,https://councils.g0v.tw/councilors/info/749a7b32a24d46348ca98fd3a213052b/2002/
基隆市,莊榮欽,中國國民黨,2009,．救國團基隆市團委會指導委員,https://councils.g0v.tw/councilors/info/3420e88632ee44eebd491ee30f57405a/2009/
